ingredeint_id,ingredient_name,ingredient_image_url
1367,Turmeric,
1368,powder,
1369,Oil,
1370,Turmeric,
1371,powder,
1372,Curry,
1373,leaves,
1374,Colocia,
1375,root,
1376,whed,
1377,thoughly,
1378,and,
1379,peeled,
1380,Tamard,
1381,malabar,
1382,Salt,
1383,Fresh,
1384,coconut,
1385,scrapped,
1386,Red,
1387,Chilli,
1388,powder,
1389,Onions,
1390,peeled,
1391,:,
1392,Coconut,
1393,Oil,
1394,Onions,
1395,peeled,
1396,and,
1397,chopped,
1398,Mustard,
1399,seeds,
1400,Cum,
1401,seeds,
1402,Dry,
1403,Red,
1404,Chilli,
1405,broken,
1406,Curry,
1407,leaves,
1408,कप,
1409,काला,
1410,चना,
1411,तुरई,
1412,बड़ा,
1413,चमच्च,
1414,सरसो,
1415,का,
1416,तेल,
1417,छोटा,
1418,चमच्च,
1419,मेथी,
1420,के,
1421,दाने,
1422,हींग,
1423,चुटकी,
1424,भर,
1425,प्याज,
1426,काटे,
1427,हुए,
1428,कली,
1429,लहसुन,
1430,काटा,
1431,हुआ,
1432,हरी,
1433,मिर्च,
1434,काटा,
1435,हुआ,
1436,छोटा,
1437,चमच्च,
1438,हल्दी,
1439,पाउडर,
1440,छोटा,
1441,चमच्च,
1442,धनिया,
1443,पाउडर,
1444,छोटा,
1445,चमच्च,
1446,जीरा,
1447,पाउडर,
1448,छोटा,
1449,चमच्च,
1450,लाल,
1451,मिर्च,
1452,पाउडर ,
1453,छोटा,
1454,चमच्च,
1455,गरम,
1456,मसाला,
1457,पाउडर,
1458,छोटा,
1459,चमच्च,
1460,अमचूर,
1461,पाउडर,
1462,नमक,
1463,स्वाद,
1464,अनुसार,
1465,हरा,
1466,धनिया,
1467,गार्निश,
1468,करे,
1469,के,
1470,लिए,
1471,Green,
1472,Moong,
1473,Dal,
1474,Yellow,
1475,Moong,
1476,Dal,
1477,Pearl,
1478,onions,
1479,Mustard,
1480,seeds,
1481,Curry,
1482,leaves,
1483,Dry,
1484,Red,
1485,Chilli,
1486,Turmeric,
1487,powder,
1488,Salt,
1489,Coconut,
1490,Oil,
1491,cookg,
1492,Ingredients,
1493,grd,
1494,Fresh,
1495,coconut,
1496,Green,
1497,Chilli,
1498,Cum,
1499,seeds,
1500,Buckwheat,
1501,Flour,
1502,Ka,
1503,Yellow,
1504,Moong,
1505,Dal,
1506,Carrots,
1507,fely,
1508,chopped,
1509,Green,
1510,beans,
1511,fely,
1512,chopped,
1513,Potaes,
1514,cubes,
1515,Green,
1516,pe,
1517,Ajwa,
1518,Green,
1519,Chillies,
1520,slit,
1521,cloves,
1522,Cloves,
1523,cloves,
1524,Whole,
1525,Black,
1526,Peppercns,
1527,Salt,
1528,Water,
1529,required,
1530,s,
1531,Oil,
1532,s,
1533,Ghee,
1534,Onion,
1535,sliced,
1536,cloves,
1537,Garlic,
1538,sliced,
1539,Brjal,
1540,ch,
1541,discs,
1542,Turmeric,
1543,powder,
1544,Red,
1545,Chilli,
1546,powder,
1547,s,
1548,Mustard,
1549,seeds,
